,method_id,method_text
0,6f236ce7-c110-453c-af7c-e179f50a2d73,"    public void brew() {

    }
"
1,82d6e504-78f0-478d-9d31-9259a0c62ecc,"    void on();
"
2,7fd7946d-b9af-4814-99d4-cd3389cc8ccb,"    void off();
"
3,a43375bc-87d3-4e84-b887-5622fcd78ffe,"    boolean isHot();
"
4,60b70d87-6356-49e8-8412-fa9eef15e8d2,"    void pump();
"
5,9b4e9583-c105-4603-adb9-b78d4976f552,"    @Override public void pump() {

    }
"
6,91355a6d-08b9-4440-b22f-9948da8e496b,"    @Override public void run() {

    }
"
7,7096ff45-1412-436c-b490-e0be0b3b6651,"    public static void main(String[] args) {
    }
"
8,c97d46ea-36ae-48ba-9f84-01f204e532d1,"    @Override public void on() {

    }
"
9,d01adb08-168f-4884-a6f9-6bc144ca7d64,"    @Override public void off() {

    }
"
10,ef2b8fc8-3aa6-4c27-9c67-2b61079f6f8e,"    @Override public boolean isHot() {
        return false;
    }
"
11,bef2bd62-8cd1-41d6-8069-cd12db317abd,"    @Before
    public void setup() {
        // Here if you need it
    }
"
12,c57bc807-cb34-4e64-a6ed-f122035f1b8f,"    @Test
    public void pump_shouldPrintPumping_whenHeaterIsHot() {

    }
"
13,dbee4def-f583-442d-bdd5-2e3e555bf2e7,"    @Test
    public void pump_shouldNotPrintAnything_whenHeaterIsNotHot() {

    }
"
14,0b88d175-7cec-45b3-bc85-bc87f91841c3,"    @Test
    public void brew_shouldBrewCoffee() {

    }
"
15,43c4c0de-f8ef-41d0-a4ef-c0899b2d505a,"    @Before
    public void setup() {
        // Here if you need it
    }
"
16,269d62ab-eef9-46a4-bc85-a8b5c952af9a,"    @Test
    public void run_shouldBrewCoffee() {

    }
"
17,333fef89-c0ad-48b9-83c6-de41dbc6d28b,"    @Before
    public void setup() {
        // Here if you need it
    }
"
18,0f9c33db-ee56-464f-9744-8fd7d5ddf61a,"    @Test
    public void on_shouldPrintHeating() {

    }
"
19,ddde10e4-473e-446e-b096-515910b0f290,"    @Test
    public void isHot_shouldBeTrue_whenHeaterIsOn() {

    }
"
20,7323632c-e026-408c-82f7-f7b37a97657d,"    @Test
    public void isHot_shouldBeFalse_whenHeaterIsOff() {

    }
"
21,ab31e7d5-83d3-42a6-8456-54680b333c41,"    public String getLastPrintedStatement() {
        return outputStream.toString();
    }
"
22,0443160e-d8e7-490d-b0a2-aa18d54b3b74,"    @Before
    public void setupTestBase() {
        MockitoAnnotations.initMocks(this);

        outputStream = new ByteArrayOutputStream();
        System.setOut(new PrintStream(outputStream));
    }
"
23,d360b33c-2df6-45a5-bccf-1e1026e4f847,"    @After
    public void tearDownTestBase() {
        System.setOut(null);
    }
"
24,40402241-cff3-4356-809c-80344129f472,"	public static Hashtable<String, Team> parseTeams(Reader reader, Collection<Stat> stats) {
		
		CSVReader csvReader = new CSVReader(reader);
		return parseStats(csvReader, stats);
		
	}
"
25,9b98d618-eb43-4cbd-8170-59225acfc62f,"	private static Hashtable<String, Team> parseStats(CSVReader reader, Collection<Stat> stats) {
		
		Hashtable<String, Team> teams = new Hashtable<String, Team>();
		List<String[]> lines; 
		try {
			lines = reader.readAll();
		} catch (IOException e) {
			System.out.println(""Error reading the CSV file."");
			return null;
		}
		
		for (int i = 0; i < lines.size(); i++) {
			String[] tokens = lines.get(i);
			
			if (tokens.length == 1 && !tokens[0].trim().equals("""")) { 		// If this is a single token
				for (Stat stat : stats) { 				 				// Check all the stats
					if (stat.table.equals(tokens[0])) { 	    // And see if this table has that stat
						
						int j = i + 1;
						
						for (; j < lines.size(); j++)
							if (lines.get(j)[0].equalsIgnoreCase(""Rank""))
								break;
						
						String[] columnTitles = lines.get(j);
						int columnIndex = findColumnIndex(columnTitles, stat.column);
						
						j++;
						
						while (true) {
							String[] values = lines.get(j);
							if ((values.length == 1 && values[0].trim().length() == 0) ||
									values[0].equals(""Reclassifying""))
								break;
							
							Team team = getTeam(teams, values[1]);
							team.stats.put(stat.name, Double.parseDouble(values[columnIndex]));
							
							j += 1;
						}
					}
				}
			}
		}
				
		return teams;
		
	}
"
26,13c37b77-a5be-439c-85c6-f75ac272d156,"	private static Team getTeam(Hashtable<String, Team> teams, String name) {
		Team team = teams.get(name);
		if (team == null) {
			team = new Team(name);
			teams.put(name, team);
		}
		return team;
	}
"
27,31b3bab1-0c1e-4e3d-bf6e-e5ebcf729d4d,"	private static int findColumnIndex(String[] columns, String column) {
		for (int i = 0; i < columns.length; i++)
			if (columns[i].equals(column))
				return i;
		return -1;
	}
"
28,49df72d1-3e4d-4158-ba94-f6c9d20bf6d3,"		public Stat(String table, String column, String name) {
			this.table = table;
			this.column = column;
			this.name = name;
		}
"
29,60a04a1d-c4de-4e4b-b574-52999cc555b9,"		public String toString() {
			return name;
		}
"
