fix,adj,map,grp
Remove the exception handling mechanism,Remove the exception handling mechanism,Remove the exception handling mechanism,Improve the exception handling block
Handling error messages for invalid arguments,Handling error messages for invalid arguments,Change the error message,Improve the message error
Add a exception handling block,Add a exception handling block,Add a exception handling block mechanism,Improve the exception handling block
mover o tratamento de exceçãopara  outro lugar,mover o tratamento de exceçãopara  outro lugar,Move the exception handling block to another part,Improve the exception handling block
Add a exception handling block / Raise a exception,Add a exception handling block / Raise a exception,Add a exception handling block mechanism and raise a exception,Improve the exception handling block
Raise a exception,Raise a exception,Add a raise condition,Improve raising conditions
Handle a exception,Handle a exception,Handle a exception,Handle a exception
Add a exception handling block,Add a exception handling block,Add a exception handling block mechanism and raise a exception,Improve the exception handling block
Change the exception type,Change the exception type,Change to apropriated exception type,Improve the exception handling block
Change to a specific exception.,Change to a specific exception.,Change to a specific exception,Improve the exception handling block
Change to apropriated exception type,Change to apropriated exception type,Change to apropriated exception type,Improve the exception handling block
Change the exception tests assertions,Change the exception tests assertions,Change to apropriated exception type,Improve the exception handling block
Raise a error,Raise a error,Add a raise condition,Improve raising conditions
Raise a exception,Raise a exception,Add a raise condition,Improve raising conditions
Change to a specific exceptio,Change to a specific exceptio,Change to a specific exception,Improve the exception handling block
Raise an error,Raise an error,Raise an error,Improve raising conditions
Change the message error,Change the message error,Change the message error,Improve the message error
Use exception handling mechanism to change the logic,Use exception handling mechanism to change the logic,Use exception handling mechanism to change the logic,Improve the exception handling block
improvement in error message,improvement in error message,Improve the message error,Improve the message error
improvement in code logic and error message,improvement in code logic and error message,Improvement in code logic and error message,Improve the exception handling block
Improvement Exception Handling,Improvement Exception Handling,Improve and move the exception handling block to another part,Improve the exception handling block
Add Exception Handling,Add Exception Handling,Add Exception Handling,Improve the exception handling block
Add apropriated exception type,Add apropriated exception type,Add apropriated exception type,Improve the exception handling block
and Change the message error,and Change the message error,Change the message error,Improve the message error
Add the exception type,Add the exception type,Add apropriated exception type,Improve the exception handling block
Add an apropriated exception handling block,Add an apropriated exception handling block,Add an apropriated exception handling block,Improve the exception handling block
Change to a specific exception,Change to a specific exception,Change to a specific exception,Improve the exception handling block
Re-raise a exception,Re-raise a exception,Re-raise a exception,Re-raise a exception
Refactor the exception handling block,Refactor the exception handling block,Refactor the exception handling block,Improve the exception handling block
Raise a specific exception,Raise a specific exception,Raise to a specific exception,Improve raising conditions
Removed exception raise,Removed exception raise,Remove raise statement,Improve raising conditions
Refactor code and add a exception handling block,Refactor code and add a exception handling block,Refactor code and add a exception handling block,Improve the exception handling block
Handle the exception and re-raise it.,Handle the exception and re-raise it.,Handle a exception and re-raise it,Re-raise a exception
Refactor the logic,Refactor the logic,Change the logic error,Change the the exception code logic
Move the exception handling block to another part,Move the exception handling block to another part,Move the exception handling block to another part,Improve the exception handling block
"Use exception
handling
 mechanism to
 change the logic",Use exceptionhandling mechanism to change the logic,Use exception handling mechanism to change the logic,Change the the exception code logic
"Import with a exception handling code
",Import with a exception handling code,Import with a exception handling code,Import with a exception handling code
"Improve and
move the
exception 
handling block
to another part",Improve andmove theexception handling blockto another part,Improve and move the exception handling block to another part,Improve the exception handling block
"Add a exception
 handling block",Add a exception handling block,Add a Exception Handling Block,Improve the exception handling block
"Handle a 
exception",Handle a exception,Handle a exception,Handle a exception
"Handle the 
exception and 
re-raise it.",Handle the exception and re-raise it.,Handle a exception and re-raise it,Re-raise a exception
"Add a raising 
condition.",Add a raising condition.,Add a raising condition,Improve raising conditions
Raise a exception.,Raise a exception.,Add a raise condition,Improve raising conditions
Raise a Error,Raise a Error,Add a raise condition,Improve raising conditions
"Add a exception
 handling block
",Add a exception handling block,Add a exception handling block,Improve the exception handling block
"Change to a 
specific 
exception
and change the
 message error

",Change to a specific exceptionand change the message error,Change to a specific exception and change the message error,Improve the exception handling block
"Add a exception 
handling block
 and Handle 
exceptions
",Add a exception handling block and Handle exceptions,Add a exception handling block,Improve the exception handling block
"Add a raising
 condition.",Add a raising condition.,Add a raise condition,Improve raising conditions
"Add a raising 
condition and 
raise 
 error",Add a raising condition and raise  error,Add a raise condition,Improve raising conditions
Add type checking code,Add type checking code,Add type checking in the code,Change the the exception code logic
Add a exception,Add a exception,Add a exception handling block,Improve the exception handling block
Add finally,Add finally,Add finally,Improve the Finally Mechanism
Fix issue,Fix issue,Fix issue,Change the the exception code logic
Fix exception handling,Fix exception handling,Fix exception handling block,Improve the exception handling block
Add a raising condition,Add a raising condition,Add a raise condition,Improve raising conditions
