,project,version_x,author_x,type,issue_number,commit_msg,author_name,author_date,merge,issue_labels,url_issue_x,has_buggy,exception_bug,symptom,root_cause,fix,has_smell_x,has_test in_fix,symptom_adj,root_cause_adj,fix_adj,symptom_map,symptom_grp,root_cause_map,root_cause_grp,fix_map,fix_grp,version_y,author_y,index,commit_fix,url_issue_y,repo_url,file,function,n_try_pass,n_generic_except,n_nested_try,n_bare_except,n_captures_misplaced_bare_raise,n_captures_broad_raise,n_bare_raise_finally,has_smell_y,exists_anti_pattern,anti_pattern_add,anti_pattern_added_name,anti_pattern_removed,anti_pattern_rem_name,fix_to_only_rem_anti_pattern,comments
0,gensim,0,1,issue,1751,fix backward compatibility problem in phrases.load. fix #1751 (#1758),Alex Garel,2017-12-06 14:46:12+01:00,FALSE,bug,https://github.com/rare-technologies/gensim/issues/1751,True,S,Aplication Crashing,Error in Logic,Remove the exception handling mechanism,,,Aplication Crashing,Error in Logic,Remove the exception handling mechanism,Aplication Crashing,Aplication Crashing,Incorrect Logic,Incorrect Logic,Remove the exception handling block,Improve the exception handling block,,,,,,,,,,,,,,,,,,,,,,,
1,edgedb,0,1,issue,514,"graphql: fix a bug in 'first', 'last', 'after', 'before' arguments.fixes #514.",Victor Petrovykh,2019-03-21 14:55:58-04:00,FALSE,"bug,graphql",https://github.com/edgedb/edgedb/issues/514,True,S,Invalid Arguments,Badly defined arguments,Handling error messages for invalid arguments,,,Invalid Arguments,Badly defined arguments,Handling error messages for invalid arguments,Incorrect Behavior,Incorrect Behavior,Incorrect Logic,Incorrect Logic,Improve the message error,Improve the message error,,,,,,,,,,,,,,,,,,,,,,,
2,pillow,0,1,issue,2359,"merge pull request #2359 from wiredfool/issue_1902

fix for issue imagetk integer overflow error",wiredfool,2017-01-26 14:12:32+00:00,TRUE,Bug,https://github.com/python-pillow/pillow/issues/2359,True,S,Exceptional error,Unhandled Exception,Add a exception handling block,,,Exceptional error,Unhandled Exception,Add a exception handling block,Incorrect Exceptions,Incorrect Exceptions,Missing Exception Type,Improper Exception Handling,Add a exception handling block,Improve the exception handling block,0.0,2.0,331.0,2d06d8550fb8823220d776cb56af98106a9cee51,https://github.com/python-pillow/pillow/issues/2359,https://github.com/python-pillow/pillow,2.0,15.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,Y,Y,Swallowing Exception,N,,N,
3,pandas,0,1,issue,1778,bug: fix date_range generation issues with dst transitions and anchored offsets close #1778,Wes McKinney,2012-08-18 19:35:32-04:00,FALSE,Bug,https://github.com/pandas-dev/pandas/issues/1778,True,S,DatetimeIndex error,Error in Logic,mover o tratamento de exceçãopara  outro lugar,,,DatetimeIndex error,Error in Logic,mover o tratamento de exceçãopara  outro lugar,Incorrect Exceptions,Incorrect Exceptions,Incorrect Logic,Incorrect Logic,Move the exception handling block to another part,Improve the exception handling block,0.0,1.0,325.0,eae588d2b20af5ece4e98c35b37252144e6589be,https://github.com/pandas-dev/pandas/issues/1778,https://github.com/pandas-dev/pandas,5.0,203.0,11.0,7.0,2.0,1.0,0.0,5.0,0.0,26.0,Y,N,,Y,"Bare Except,Too Broad Except",N,foi removida a linha com antipattern Too Broad Except
4,pytorch-lightning,0,1,issue,8167,,thomas chaton,2021-06-28 20:26:03+01:00,FALSE,"bug,ready,distributed",https://github.com/pytorchlightning/pytorch-lightning/issues/8167,True,S,Deadlock,Unhandled Exception,Add a exception handling block / Raise a exception,,,Deadlock,Unhandled Exception,Add a exception handling block / Raise a exception,Deadlock,Deadlock,Missing Exception Type,Improper Exception Handling,Add a exception handling block and raise a exception,Improve the exception handling block,0.0,1.0,381.0,c521624a928b2665965830590b2f37b347a86c43,https://github.com/pytorchlightning/pytorch-lightning/issues/8167,https://github.com/pytorchlightning/pytorch-lightning,7.0,168.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Y,N,,Y,Too Broad Except,N,foi removida a linha com antipattern Too Broad Except
5,sqlmap,0,1,issue,889,fix for an issue #889,Miroslav Stampar,2014-11-01 17:13:33+01:00,FALSE,"bug,normal,miscellaneous",https://github.com/sqlmapproject/sqlmap/issues/889,True,S,Exceptional error,Unhandled Exception,Add a exception handling block,,,Exceptional error,Unhandled Exception,Add a exception handling block,Incorrect Exceptions,Incorrect Exceptions,Missing Exception Type,Improper Exception Handling,Add a exception handling block,Improve the exception handling block,,,,,,,,,,,,,,,,,,,,,,,
6,salt,0,1,issue,47689,#47689 fix lint errors,Orlando Richards,2018-05-19 21:07:14+01:00,FALSE,"Bug,severity-medium,P2",https://github.com/saltstack/salt/issues/47689,True,S,Performance,Unhandled Exception,Add a exception handling block,,,Performance,Unhandled Exception,Add a exception handling block,Performance,Performance,Missing Exception Type,Improper Exception Handling,Add a exception handling block,Improve the exception handling block,0.0,1.0,415.0,d3678bf2f37a85a29425613de822ff06ab3dcef6,https://github.com/saltstack/salt/issues/47689,https://github.com/saltstack/salt,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,Y,N,,Y,Nested Try,N,foi removida a linha com antipattern Nested Try
7,lightning,0,1,issue,4237,[metrics] fix/4237 auc unstable reorder (#4281),Dusan Drevicky,2020-10-25 10:26:40+01:00,FALSE,"bug,help wanted",https://github.com/lightning-ai/lightning/issues/4237,True,S,Improper Logic,Missing Raising Condition,Raise a exception,,,Improper Logic,Missing Raising Condition,Raise a exception,Incorrect Behavior,Incorrect Behavior,Missing Raising Condition,Improper Raising,Add a raise condition,Improve raising conditions,,,,,,,,,,,,,,,,,,,,,,,
8,pandas,0,1,issue,2745,bug: gh2745 fix issue with indexing a series with a boolean key and specifiying a 1-len list on the rhs (gh2745_),jreback,2013-03-22 13:59:23-04:00,FALSE,Bug,https://github.com/pandas-dev/pandas/issues/2745,True,S,Incorrect Logic,Error in Logic,Handle a exception,,,Incorrect Logic,Error in Logic,Handle a exception,Incorrect Behavior,Incorrect Behavior,Incorrect Logic,Incorrect Logic,Add apropriated exception type,Improve the exception handling block,0.0,1.0,294.0,12167d111f388166185c72727b2f33e0b1187b3e,https://github.com/pandas-dev/pandas/issues/2745,https://github.com/pandas-dev/pandas,3.0,527.0,10.0,8.0,1.0,11.0,0.0,10.0,0.0,40.0,N,N,,N,,,
9,gamestonkterminal,0,1,issue,3220,fix a bunch of cryptooooo (#3220),andrewkenreich,2022-11-02 13:18:42-04:00,FALSE,bug,https://github.com/gamestonkterminal/gamestonkterminal/issues/3220,True,S,Exceptional error,Re-raising exception,Handle a exception,,,Exceptional error,Re-raising exception,Handle a exception,Incorrect Exceptions,Incorrect Exceptions,Re-raising exception,Re-raising exception,Add apropriated exception type,Improve the exception handling block,0.0,2.0,159.0,41a764fd5fcd25b4ea48603365b567d12cbe0f1a,https://github.com/gamestonkterminal/gamestonkterminal/issues/3220,https://github.com/gamestonkterminal/gamestonkterminal,12.0,125.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,N,N,,N,,,
