version,author,index,project,commit_fix,url_issue,repo_url,file,function,n_try_pass,n_generic_except,n_nested_try,n_bare_except,n_captures_misplaced_bare_raise,n_captures_broad_raise,n_bare_raise_finally,has_smell,exists_anti_pattern,anti_pattern_add,anti_pattern_added_name,anti_pattern_removed,anti_pattern_rem_name,fix_to_only_rem_anti_pattern,comments
0,2,312,pandas,89ad14ddd49287dfed1b4586be2d2f8a3d723868,https://github.com/pandas-dev/pandas/issues/2971,https://github.com/pandas-dev/pandas,2,29,3,5,0,1,0,0,0,9,Y,Y,Bare Raise,N,,N,
0,2,17,ansible,26fff6f5c32fa4396a8c72872c729b367739499c,https://github.com/ansible/ansible/issues/59527,https://github.com/ansible/ansible,2,32,1,5,0,0,0,3,0,9,Y,Y,Too Broad Except,Y,Too Broad Except,N,"Marquei que o antipattern foi adicionado e removido, porque ele já existia no código removido e continuou a existir no código inserido."
0,2,337,pipenv,baef2e78a632168bddce0a428969b9f6fb32693c,https://github.com/pypa/pipenv/issues/3017,https://github.com/pypa/pipenv,60,596,20,11,2,0,1,3,0,37,N,N,,N,,,"Alguns PRs eu marquei em vermelho pelos seguinte motivos: a modificação foi extremamente grande, quase impossível de analisar todos os arquivos; Não consegui identificar o commit; Algums PRs são de bots e tem várias referências cruzadas para outras do mesmo bot. "
0,2,197,jupyterhub,cb25d29b0bab438b5fd68b92036e0e25134b7ace,https://github.com/jupyterhub/jupyterhub/issues/3837,https://github.com/jupyterhub/jupyterhub,1,1,0,1,0,0,0,0,0,1,Y,Y,Try and Return,Y,Try and Return,N,
0,2,189,ipython,811d52cc05312485b22c67b07d9161eb42c60646,https://github.com/ipython/ipython/issues/5790,https://github.com/ipython/ipython,2,68,4,6,0,5,0,0,0,15,Y,Y,Swallowing Exception,Y,Swallowing Exception,N,
0,2,261,numpy,0282bcdf737998fcde04e2101f9e44dcf8450888,https://github.com/numpy/numpy/issues/5762,https://github.com/numpy/numpy,29,834,15,2,0,26,0,0,0,43,Y,Y,Bare Raise,N,,N,
0,2,198,kornia,f7c7aeb1be64bb2c918ec6b2d6abcac447246197,https://github.com/kornia/kornia/issues/2,https://github.com/kornia/kornia,2,31,4,0,0,0,0,0,0,4,Y,Y,Bare Raise,N,,N,
0,2,106,ansible,fbff0449ce08fe2a57724e66938886e203173611,https://github.com/ansible/ansible/issues/10422,https://github.com/ansible/ansible,1,24,0,0,0,0,0,2,0,2,N,N,,N,,,
0,2,107,ansible,fd65f037f8c1f4ccd110454a40df15dcadd4cbb4,https://github.com/ansible/ansible/issues/56245,https://github.com/ansible/ansible,1,14,2,4,1,0,0,0,0,7,N,N,,N,,,
0,2,406,salt,2cca37c5bdccf879aa95e561cb72291e5cd3ce3c,https://github.com/saltstack/salt/issues/20496,https://github.com/saltstack/salt,1,13,0,0,0,1,0,0,0,1,Y,Y,Bare Except,N,,N,
0,2,188,ipython,5f4fbef704d6cd5984d4ce71166425f2a9be7e2e,https://github.com/ipython/ipython/issues/875,https://github.com/ipython/ipython,2,49,1,1,0,1,0,0,0,3,Y,Y,"Swallowing Exception, Bare Raise",Y,Bare Raise,N,
0,2,421,scipy,954fc2e3a46b3f9aa6a087145e646f55796c4194,https://github.com/scipy/scipy/issues/1042,https://github.com/scipy/scipy,1,35,0,0,0,2,0,0,0,2,N,N,,N,,,
0,2,183,httpx,ab9cd0ea112c703c91cf5a57b61ba2376ab39dac,https://github.com/encode/httpx/issues/153,https://github.com/encode/httpx,4,57,1,0,0,0,0,0,0,1,Y,Y,"Bare Raise, Swallowing Exception",N,,N,
0,2,320,pandas,af2a7208a9e1c97e5973538eac34179199c82af7,https://github.com/pandas-dev/pandas/issues/2781,https://github.com/pandas-dev/pandas,2,186,8,1,1,1,0,0,0,11,Y,Y,Bare Raise,N,,N,
0,2,331,pillow,2d06d8550fb8823220d776cb56af98106a9cee51,https://github.com/python-pillow/pillow/issues/2359,https://github.com/python-pillow/pillow,2,15,2,0,1,2,0,0,0,5,Y,Y,Swallowing Exception,N,,N,
0,2,103,ansible,f48fa3759adfa92c9ed618e771c4cf8b136b0470,https://github.com/ansible/ansible/issues/8614,https://github.com/ansible/ansible,1,39,1,2,0,3,0,1,0,7,N,N,,N,,,
0,2,99,ansible,e166946a0a13e0b2606396b6dd3069c4ddf0582f,https://github.com/ansible/ansible/issues/36923,https://github.com/ansible/ansible,2,44,3,0,0,0,0,0,0,3,Y,N,,Y,Swallowing Exception,Y,
0,2,330,pgcli,d25d27846a3f3ed7eb673a93cc9e7691b99fe36b,https://github.com/dbcli/pgcli/issues/1014,https://github.com/dbcli/pgcli,1,34,3,1,1,0,0,0,0,5,Y,Y,Swallowing Exception,N,,N,
0,2,3,ansible,05879d331ae23b9c4a77b70425c3f8e48ab2e8ea,https://github.com/ansible/ansible/issues/20356,https://github.com/ansible/ansible,1,11,2,0,0,0,0,0,0,2,N,N,,N,,,
0,2,126,celery,6dd385258297c89843bfe73299e5f7eebf0e98e2,https://github.com/celery/celery/issues/6746,https://github.com/celery/celery,5,424,9,7,1,0,0,0,0,17,Y,Y,"Swallowing Exception, Bare Raise",N,,N,
0,2,301,pandas,331093e204d7ae80f88cabd52de69be1ca007e9a,https://github.com/pandas-dev/pandas/issues/34875,https://github.com/pandas-dev/pandas,4,327,1,0,0,0,0,0,0,1,Y,Y,Bare Raise,Y,Bare Raise,N,
0,2,212,lightning,9bfbd9ea80c4c5daf48800a1ab9a14683a0bc1ce,https://github.com/lightning-ai/lightning/issues/12885,https://github.com/lightning-ai/lightning,5,353,0,2,0,0,0,4,0,6,N,N,,N,,,
0,2,279,openbbterminal,5fedb8e042ae8b1a81ffc3f81c37e97e3c80d776,https://github.com/openbb-finance/openbbterminal/issues/1364,https://github.com/openbb-finance/openbbterminal,6,41,0,1,0,0,0,0,0,1,Y,Y,Swallowing Exception,N,,N,
