fix,adj,map,grp
,,Add a exception handling block,Exception handling block operations
Remove the exception handling mechanism,Remove the exception handling mechanism,Remove the exception handling block,Exception handling block operations
Handling error messages for invalid arguments,Handling error messages for invalid arguments,Improve the message error,Improve the message error
Add a exception handling block,Add a exception handling block,Add a exception handling block,Exception handling block operations
mover o tratamento de exceçãopara  outro lugar,mover o tratamento de exceçãopara  outro lugar,Move the exception handling block,Exception handling block operations
Add a exception handling block / Raise a exception,Add a exception handling block / Raise a exception,Add a exception handling block and raise a exception,Exception handling block operations
Raise a exception,Raise a exception,Add a raise condition,Improve raising conditions
Handle a exception,Handle a exception,Add apropriated exception type,Exception type operations
Add a exception handling block,Add a exception handling block,Add a exception handling block and raise a exception,Exception handling block operations
Change the exception type,Change the exception type,Change to apropriated exception type,Exception type operations
Change to a specific exception.,Change to a specific exception.,Change to apropriated exception type,Exception type operations
Change to apropriated exception type,Change to apropriated exception type,Change to apropriated exception type,Exception type operations
Change the exception tests assertions,Change the exception tests assertions,Change to apropriated exception type,Exception type operations
Raise a error,Raise a error,Add a raise condition,Improve raising conditions
Raise a exception,Raise a exception,Add a raise condition,Improve raising conditions
Change to a specific exceptio,Change to a specific exceptio,Change to apropriated exception type,Exception type operations
Raise an error,Raise an error,Add a raise condition,Improve raising conditions
Change the message error,Change the message error,Improve the message error,Improve the message error
Use exception handling mechanism to change the logic,Use exception handling mechanism to change the logic,Change the the exception code logic,Change the the exception code logic
improvement in error message,improvement in error message,Improve the message error,Improve the message error
improvement in code logic and error message,improvement in code logic and error message,Change the the exception code logic,Change the the exception code logic
Improvement Exception Handling,Improvement Exception Handling,Move the exception handling block,Exception handling block operations
Add Exception Handling,Add Exception Handling,Add a exception handling block,Exception handling block operations
Add apropriated exception type,Add apropriated exception type,Add apropriated exception type,Exception type operations
and Change the message error,and Change the message error,Improve the message error,Improve the message error
Add the exception type,Add the exception type,Add apropriated exception type,Exception type operations
-,-,Add apropriated exception type,Exception type operations
Add an apropriated exception handling block,Add an apropriated exception handling block,Add a exception handling block,Exception handling block operations
Change to a specific exception,Change to a specific exception,Change to apropriated exception type,Exception type operations
Re-raise a exception,Re-raise a exception,Re-raise a exception,Re-raise a exception
Refactor the exception handling block,Refactor the exception handling block,Change the the exception code logic,Change the the exception code logic
Raise a specific exception,Raise a specific exception,Change the raise type,Improve raising conditions
Removed exception raise,Removed exception raise,Remove a raise statement,Improve raising conditions
Refactor code and add a exception handling block,Refactor code and add a exception handling block,Add a exception handling block,Exception handling block operations
Handle the exception and re-raise it.,Handle the exception and re-raise it.,Re-raise a exception,Re-raise a exception
Refactor the logic,Refactor the logic,Change the the exception code logic,Change the the exception code logic
Move the exception handling block to another part,Move the exception handling block to another part,Move the exception handling block,Exception handling block operations
"Use exception
handling
 mechanism to
 change the logic",Use exceptionhandling mechanism to change the logic,Change the the exception code logic,Change the the exception code logic
"Import with a exception handling code
",Import with a exception handling code,Import with a exception handling code,Import with a exception handling code
"Improve and
move the
exception 
handling block
to another part",Improve andmove theexception handling blockto another part,Move the exception handling block,Exception handling block operations
"Add a exception
 handling block",Add a exception handling block,Add a exception handling block,Exception handling block operations
"Handle a 
exception",Handle a exception,Add apropriated exception type,Exception type operations
"Handle the 
exception and 
re-raise it.",Handle the exception and re-raise it.,Re-raise a exception,Re-raise a exception
"Add a raising 
condition.",Add a raising condition.,Add a raise condition,Improve raising conditions
Raise a exception.,Raise a exception.,Add a raise condition,Improve raising conditions
Raise a Error,Raise a Error,Add a raise condition,Improve raising conditions
"Add a exception
 handling block
",Add a exception handling block,Add a exception handling block,Exception handling block operations
"Change to a 
specific 
exception
and change the
 message error

",Change to a specific exceptionand change the message error,Change to apropriated exception type,Exception type operations
"Add a exception 
handling block
 and Handle 
exceptions
",Add a exception handling block and Handle exceptions,Add a exception handling block,Exception handling block operations
"Add a raising
 condition.",Add a raising condition.,Add a raise condition,Improve raising conditions
"Add a raising 
condition and 
raise 
 error",Add a raising condition and raise  error,Add a raise condition,Improve raising conditions
Add type checking code,Add type checking code,Change the the exception code logic,Change the the exception code logic
Add a exception,Add a exception,Add a exception handling block,Exception handling block operations
Add finally,Add finally,Add a finally mechanism,Improve the Finally Mechanism
Fix issue,Fix issue,Change the the exception code logic,Change the the exception code logic
Fix exception handling,Fix exception handling,Add a exception handling block,Exception handling block operations
Add a raising condition,Add a raising condition,Add a raise condition,Improve raising conditions
Remove raise,Remove raise,Remove a raise statement,Improve raising conditions
Handle a Exception,Handle a Exception,Add apropriated exception type,Exception type operations
Add a Exception Handling Block,Add a Exception Handling Block,Add a exception handling block,Exception handling block operations
Import with a exception handling code.,Import with a exception handling code.,Import with a exception handling code,Import with a exception handling code
Fix the message error parameter,Fix the message error parameter,Improve the message error,Improve the message error
Fix lib version check,Fix lib version check,Fix API call and/or version,Fix API version
Add another except block,Add another except block,Add a exception handling block,Exception handling block operations
Handle exception and raise StopIteration,Handle exception and raise StopIteration,Add apropriated exception type and add a raise condition,Exception type operations
Fix logic,Fix logic,Change the the exception code logic,Change the the exception code logic
Fix string formatting,Fix string formatting,Change the the exception code logic,Change the the exception code logic
