,index,str_raise_identifiers,str_uniq_identifiers,perc
1,NotImplementedError,15733,NotImplementedError,29.32
2,TypeError,8247,TypeError,15.37
3,Exception,7263,Exception,13.54
4,RuntimeError,7044,RuntimeError,13.13
5,AssertionError,2031,AssertionError,3.79
6,ValidationError,1721,ValidationError,3.21
7,SystemExit,1656,SystemExit,3.09
9,AttributeError,1349,AttributeError,2.51
10,KeyError,1292,KeyError,2.41
11,ImportError,1278,ImportError,2.38
12,MlflowException,857,MlflowException,1.6
13,SkipTest,787,SkipTest,1.47
14,SynapseError,672,SynapseError,1.25
15,FileNotFoundError,619,FileNotFoundError,1.15
16,OSError,565,OSError,1.05
17,IndexError,539,IndexError,1.0
18,AnsibleError,527,AnsibleError,0.98
19,InvalidArguments,496,InvalidArguments,0.92
20,JsonableError,493,JsonableError,0.92
21,ExtractorError,490,ExtractorError,0.91
