,root_cause_grp,root_cause_map,Count,Percentage
0,API Errors,API Misuse,11,1.17
1,API Errors,Incorrect API Version,7,0.74
2,EH Anti-Patterns,Bare Except,1,0.11
3,EH Anti-Patterns,Generic Exception,2,0.21
4,EH Anti-Patterns,Generic Raise,1,0.11
5,EH Anti-Patterns,Swallowing Exception,2,0.21
6,Import Error ,Import Error,9,0.96
7,Improper Exception Handling,Missing Exception Type,476,50.53
8,Improper Exception Handling,Wrong Exception Type,14,1.49
9,Improper Finally Block,Finally Block Should not Exists,1,0.11
10,Improper Finally Block,Missing Finally Block,1,0.11
11,Improper Finally Block,Missing Type on Finally Block,1,0.11
12,Improper Raising,Missing Raising Condition,99,10.51
13,Improper Raising,Unexpected Raising,13,1.38
14,Improper Raising,Wrong Raise Type,14,1.49
15,Incorrect Logic,Incorrect Logic,206,21.87
16,Python 2/3 Incompatibility Errors,Python 2/3 Incompatibility Errors,3,0.32
17,Re-raising exception,Re-raising exception,19,2.02
18,Unproper Message,Unproper Message,62,6.58
