root_cause,adj,map,grp
,,Missing Exception Type,Unhandled Exception
Error in Logic,Error in Logic,Incorrect Logic,Incorrect Logic
Badly defined arguments,Badly defined arguments,Incorrect Logic,Incorrect Logic
Unhandled Exception,Unhandled Exception,Missing Exception Type,Unhandled Exception
Missing Raising Condition,Missing Raising Condition,Missing Raising Condition,Missing Raising Condition
Re-raising exception,Re-raising exception,Re-raising Exception,Re-raising Exception
Improper Handling,Improper Handling,Wrong Exception Type,Wrong Exception Type
Wrong exception type,Wrong exception type,Wrong Exception Type,Wrong Exception Type
API Mismatch,API Mismatch,API Misuse,API Errors
API Mismatch,API Mismatch,API Misuse,API Errors
Unproper Message Error,Unproper Message Error,Unproper Message,Unproper Message
Incorrect logic leading to raise a execption,Incorrect logic leading to raise a execption,Incorrect Logic,Incorrect Logic
Incorrect code logic,Incorrect code logic,Incorrect Logic,Incorrect Logic
Bad Exception Handling Logic,Bad Exception Handling Logic,Incorrect Logic,Incorrect Logic
No Exception Handling,No Exception Handling,Missing Exception Type,Unhandled Exception
and Unproper Message Error,and Unproper Message Error,Unproper Message,Unproper Message
Missing exception type,Missing exception type,Missing Exception Type,Unhandled Exception
-,-,-,-
Unexpected Raising,Unexpected Raising,Unexpected Raising,Unexpected Raising
Unproper exception handling,Unproper exception handling,Missing Exception Type,Unhandled Exception
Aplication Crashing,Aplication Crashing,Missing Exception Type,Unhandled Exception
Error in logic,Error in logic,Incorrect Logic,Incorrect Logic
"Improper Handling
",Improper Handling,Missing Exception Type,Unhandled Exception
Improper handling,Improper handling,Missing Exception Type,Unhandled Exception
Wrong exception type e Unproper Message Error (Utilizava Generic Exception),Wrong exception type e Unproper Message Error (Utilizava Generic Exception),Generic Exception,Wrong Exception Type
"Missing Raising
 Condition",Missing Raising Condition,Missing Raising Condition,Missing Raising Condition
"Unproper Message
Error Due to
Unhandled 
Exception",Unproper MessageError Due toUnhandled Exception,Unproper Message,Unproper Message
Unhandled Error,Unhandled Error,Missing Exception Type,Unhandled Exception
Missing finally,Missing finally,Missing Finally Block,Improper Finally Block
Exception handled incorrectly,Exception handled incorrectly,Wrong Exception Type,Wrong Exception Type
Wrong Assertion,Wrong Assertion,Wrong Exception Type,Wrong Exception Type
Lib conflict,Lib conflict,Import Error,Import Error 
Additional Unhandled Exception,Additional Unhandled Exception,Python 2/3 Incompatibility Errors,Python Version Incompatibility Errors
String manipulation issue,String manipulation issue,Incorrect Logic,Incorrect Logic
Unicode string error,Unicode string error,Incorrect Logic,Incorrect Logic
Unparsable indent source unhandled,Unparsable indent source unhandled,Missing Exception Type,Unhandled Exception
String formatting issue,String formatting issue,Incorrect Logic,Incorrect Logic
Unexpected network condition,Unexpected network condition,Missing Exception Type,Unhandled Exception
Indentation block,Indentation block,Python 2/3 Incompatibility Errors,Python Version Incompatibility Errors
Relative path handling,Relative path handling,Incorrect Logic,Incorrect Logic
Unespected behaviour on race condition,Unespected behaviour on race condition,Incorrect Logic,Incorrect Logic
Import issues,Import issues,Import Error,Import Error 
Improper exception handling block,Improper exception handling block,Missing Exception Type,Unhandled Exception
Wrong error raised,Wrong error raised,Wrong Raise Type,Wrong Raise Type
Wrong variable logged,Wrong variable logged,Unproper Message,Unproper Message
Unhandled exception,Unhandled exception,Missing Exception Type,Unhandled Exception
Missing value check,Missing value check,Incorrect Logic,Incorrect Logic
Improper Handling by swallowing exception,Improper Handling by swallowing exception,Swallowing Exception,Wrong Exception Type
Unhandled exception on finally block,Unhandled exception on finally block,Missing Type on Finally Block,Improper Finally Block
API Misuse,API Misuse,API Misuse,API Errors
Exception raised,Exception raised,Wrong Raise Type,Wrong Raise Type
Import error,Import error,Import Error,Import Error 
Improper raise,Improper raise,Missing Raising Condition,Missing Raising Condition
MIssing variable check,MIssing variable check,Incorrect Logic,Incorrect Logic
Wrong API call,Wrong API call,API Misuse,API Errors
String formatting error,String formatting error,Incorrect Logic,Incorrect Logic
Missing error type check,Missing error type check,Incorrect Logic,Incorrect Logic
Finally block execution error,Finally block execution error,Finally Block Should not Exists,Improper Finally Block
Missing return value,Missing return value,Incorrect Logic,Incorrect Logic
Parse error,Parse error,Incorrect Logic,Incorrect Logic
Missing method,Missing method,Incorrect Logic,Incorrect Logic
Generic raise,Generic raise,Generic Raise,Unexpected Raising
Type error on raise expression,Type error on raise expression,Wrong Raise Type,Wrong Raise Type
Permission error,Permission error,Missing Exception Type,Unhandled Exception
Method called before variable check,Method called before variable check,Incorrect Logic,Incorrect Logic
Missing raise keyword,Missing raise keyword,Missing Raising Condition,Missing Raising Condition
Loop problem,Loop problem,Incorrect Logic,Incorrect Logic
Cast error,Cast error,Missing Exception Type,Unhandled Exception
Missing Handling,Missing Handling,Missing Exception Type,Unhandled Exception
Incorrect Identation,Incorrect Identation,Missing Exception Type,Unhandled Exception
Incorrect logic inside try block,Incorrect logic inside try block,Incorrect Logic,Incorrect Logic
Missing Raising Condition and Unhandled Exception,Missing Raising Condition and Unhandled Exception,Missing Raising Condition,Missing Raising Condition
Incorrect Handling and Unhandled Exception,Incorrect Handling and Unhandled Exception,Missing Exception Type,Unhandled Exception
Unhandled Exception and Error in Logic,Unhandled Exception and Error in Logic,Missing Exception Type,Unhandled Exception
Improper Raising,Improper Raising,Missing Raising Condition,Missing Raising Condition
Unhandled Exception and Improper Handling,Unhandled Exception and Improper Handling,Missing Exception Type,Unhandled Exception
Error in Logic and Missing Raising Condition,Error in Logic and Missing Raising Condition,Missing Raising Condition,Missing Raising Condition
Improper Handling and Wrong exception type,Improper Handling and Wrong exception type,Wrong Exception Type,Wrong Exception Type
"Error in Logic
",Error in Logic,Incorrect Logic,Incorrect Logic
"Wrong exception
 type",Wrong exception type,Wrong Exception Type,Wrong Exception Type
"Unhandled 
Exception",Unhandled Exception,Missing Exception Type,Unhandled Exception
Improper Logic,Improper Logic,Incorrect Logic,Incorrect Logic
"Missing Raising 
Condition",Missing Raising Condition,Missing Raising Condition,Missing Raising Condition
"Error in Logic 
(Improper 
Raising 
Condition)",Error in Logic (Improper Raising Condition),Wrong Raise Type,Wrong Raise Type
"Incorrect API 
Version",Incorrect API Version,Incorrect API Version,API Errors
Error in Logic,Error in Logic,Incorrect Logic,Incorrect Logic
"Unhandled Exception
",Unhandled Exception,Missing Exception Type,Unhandled Exception
"Error in Logic

",Error in Logic,Incorrect Logic,Incorrect Logic
"Unhandled 
Exception
",Unhandled Exception,Missing Exception Type,Unhandled Exception
"Unproper 
Message Error",Unproper Message Error,Unproper Message,Unproper Message
"Unhandled 
Exception 
(exception 
handling already 
existed, but a
 type was missing)","Unhandled Exception (exception handling already existed, but a type was missing)",Missing Exception Type,Unhandled Exception
"Unexpected 
Raising",Unexpected Raising,Unexpected Raising,Unexpected Raising
"Improper 
Raising
Condition",Improper RaisingCondition,Wrong Raise Type,Wrong Raise Type
"Improper 
Handling and 
Error in Logic",Improper Handling and Error in Logic,Incorrect Logic,Incorrect Logic
"Improper 
Raising 
Condition",Improper Raising Condition,Wrong Raise Type,Wrong Raise Type
"Incorrect Package 
Version
",Incorrect Package Version,Incorrect API Version,API Errors
Incorrect Logic,Incorrect Logic,Incorrect Logic,Incorrect Logic
"Unhandled 
Exception and 
Error in Logic
",Unhandled Exception and Error in Logic,Missing Exception Type,Unhandled Exception
"Unproper 
Message Error
",Unproper Message Error,Unproper Message,Unproper Message
"Unhadled 
Exception",Unhadled Exception,Missing Exception Type,Unhandled Exception
"Error in Logic
and improper
handling",Error in Logicand improperhandling,Missing Exception Type,Unhandled Exception
"Improper 
Handling",Improper Handling,Missing Exception Type,Unhandled Exception
"Unhandled
 Exception
",Unhandled Exception,Missing Exception Type,Unhandled Exception
"Improper
Handling
",ImproperHandling,Missing Exception Type,Unhandled Exception
"Improper 
Handling
and Error in 
Logic",Improper Handlingand Error in Logic,Incorrect Logic,Incorrect Logic
"Wrong 
exception type",Wrong exception type,Wrong Exception Type,Wrong Exception Type
"Improper 
Handling and
Error in Logic",Improper Handling andError in Logic,Incorrect Logic,Incorrect Logic
"Unhandled
Exception
",UnhandledException,Missing Exception Type,Unhandled Exception
"Missing 
Condition to
Handle a 
exception
",Missing Condition toHandle a exception,Missing Exception Type,Unhandled Exception
"Missing 
Raising 
Condition and
Error in Logic

",Missing Raising Condition andError in Logic,Missing Raising Condition,Missing Raising Condition
"Improper
 Handling",Improper Handling,Improper Handling,Wrong Exception Type
"
Error in Logic
",Error in Logic,Incorrect Logic,Incorrect Logic
"Missing Raising 
Condition
and Error in 
Logic
",Missing Raising Conditionand Error in Logic,Missing Raising Condition,Missing Raising Condition
