repo_name,url_repo,source
Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,github
Chat2DB,https://github.com/chat2db/Chat2DB,github
LiTiaotiao-Custom-Rules,https://github.com/Snoopy1866/LiTiaotiao-Custom-Rules,github
conductor,https://github.com/conductor-oss/conductor,github
spring-reading,https://github.com/xuchengsheng/spring-reading,github
1brc,https://github.com/gunnarmorling/1brc,github
winlator,https://github.com/brunodev85/winlator,github
midjourney-proxy,https://github.com/novicezk/midjourney-proxy,github
campus-imaotai,https://github.com/oddfar/campus-imaotai,github
chatgpt-java,https://github.com/Grt1228/chatgpt-java,github
Wukong_HRM,https://github.com/WuKongOpenSource/Wukong_HRM,github
MallChat,https://github.com/zongzibinbin/MallChat,github
incubator-fury,https://github.com/apache/incubator-fury,github
PlayEdu,https://github.com/PlayEdu/PlayEdu,github
langchain4j,https://github.com/langchain4j/langchain4j,github
ai-beehive,https://github.com/hncboy/ai-beehive,github
bindiff,https://github.com/google/bindiff,github
burpgpt,https://github.com/aress31/burpgpt,github
blossom,https://github.com/blossom-editor/blossom,github
mybatis-flex,https://github.com/mybatis-flex/mybatis-flex,github
xpipe,https://github.com/xpipe-io/xpipe,github
Wukong_nocode,https://github.com/WuKongOpenSource/Wukong_nocode,github
12306,https://github.com/nageoffer/12306,github
HyperCeiler,https://github.com/ReChronoRain/HyperCeiler,github
spring-startup-analyzer,https://github.com/linyimin0812/spring-startup-analyzer,github
spring-ai,https://github.com/spring-projects/spring-ai,github
jvector,https://github.com/jbellis/jvector,github
pinduoduo_backdoor_unpacker,https://github.com/davinci1012/pinduoduo_backdoor_unpacker,github
OpenShamrock,https://github.com/whitechi73/OpenShamrock,github
PandoraNext-TokensTool,https://github.com/Yanyutin753/PandoraNext-TokensTool,github
Cemiuiler,https://github.com/ReChronoRain/Cemiuiler,github
fractureiser,https://github.com/fractureiser-investigation/fractureiser,github
XQuickEnergy,https://github.com/constanline/XQuickEnergy,github
MoonBox,https://github.com/vivo/MoonBox,github
AntiAntiDefraud,https://github.com/MinaMichita/AntiAntiDefraud,github
apple-notes-liberator,https://github.com/HamburgChimps/apple-notes-liberator,github
moneynote-api,https://github.com/getmoneynote/moneynote-api,github
LunarCore,https://github.com/Melledy/LunarCore,github
NeoForge,https://github.com/neoforged/NeoForge,github
congomall,https://github.com/nageoffer/congomall,github
